Base,Comm,Agent_number,Dataset,Pred_length,MSE,MAE
Hete,chain,24,ETTm1,336,0.39835062623023987,0.40402525663375854
Hete,chain,12,ETTm1,720,0.44226503372192383,0.4334881901741028
Hete,chain,12,ETTm1,336,0.3971270024776459,0.40402209758758545
Hete,chain,20,ETTm1,192,0.3452530801296234,0.3741515278816223
Hete,chain,24,ETTm1,192,0.34561866521835327,0.37484070658683777
Hete,chain,16,ETTm1,336,0.38599318265914917,0.40008410811424255
Hete,chain,8,ETTm2,336,0.29350870847702026,0.33981436491012573
Hete,chain,16,ETTm2,192,0.24249717593193054,0.30431923270225525
Hete,chain,4,ETTm2,192,0.2473544031381607,0.3077850937843323
Hete,chain,16,ETTm2,96,0.17945285141468048,0.2619299590587616
Hete,chain,20,ETTm2,96,0.18150795996189117,0.263416588306427
Hete,chain,4,ETTm2,720,0.41045206785202026,0.4167769253253937
Hete,chain,20,ETTm2,336,0.29218778014183044,0.33766841888427734
Hete,chain,8,ETTm2,192,0.24810285866260529,0.30719053745269775
Hete,chain,24,ETTm2,96,0.17676961421966553,0.2602204978466034
Hete,chain,24,ETTm2,720,0.4031684696674347,0.414353609085083
Hete,chain,4,ETTm2,336,0.28559720516204834,0.33517947793006897
Hete,chain,12,ETTm2,96,0.17914175987243652,0.2618815004825592
Hete,chain,12,ETTm2,192,0.24434557557106018,0.30556735396385193
Hete,chain,8,ETTm2,96,0.1826450377702713,0.2642532289028168
Hete,chain,16,ETTm2,720,0.4032549262046814,0.4114733040332794
Hete,chain,20,ETTm2,720,0.4047256112098694,0.4135228395462036
Hete,chain,4,ETTm2,96,0.18153657019138336,0.2632109820842743
Hete,chain,8,ETTm2,720,0.3958890438079834,0.41109660267829895
Hete,chain,24,ETTm2,336,0.2845073938369751,0.33314624428749084
Hete,chain,12,ETTm2,720,0.4125399887561798,0.4185328185558319
Hete,chain,12,ETTm2,336,0.2864930331707001,0.33568498492240906
Hete,chain,20,ETTm2,192,0.24070267379283905,0.3031586706638336
Hete,chain,24,ETTm2,192,0.24618558585643768,0.30584660172462463
Hete,chain,16,ETTm2,336,0.29593732953071594,0.3397427797317505
Hete,chain,8,pm2_5,336,0.38382822275161743,0.40789884328842163
Hete,chain,16,pm2_5,192,0.44551774859428406,0.44124311208724976
Hete,chain,4,pm2_5,192,0.44707807898521423,0.44272521138191223
Hete,chain,16,pm2_5,96,0.44558772444725037,0.43771857023239136
Hete,chain,20,pm2_5,96,0.4362925589084625,0.4294452369213104
Hete,chain,4,pm2_5,720,0.40337830781936646,0.43354159593582153
Hete,chain,20,pm2_5,336,0.3848324418067932,0.4074285626411438
Hete,chain,8,pm2_5,192,0.4410824179649353,0.4334280788898468
Hete,chain,24,pm2_5,96,0.4332733154296875,0.42905527353286743
Hete,chain,24,pm2_5,720,0.39555755257606506,0.425187349319458
Hete,chain,4,pm2_5,336,0.3928784430027008,0.4107431173324585
Hete,chain,12,pm2_5,96,0.4432292580604553,0.4320032000541687
Hete,chain,12,pm2_5,192,0.44754332304000854,0.44167405366897583
Hete,chain,8,pm2_5,96,0.4430055320262909,0.4318327009677887
Hete,chain,16,pm2_5,720,0.3710232675075531,0.4129563271999359
Hete,chain,20,pm2_5,720,0.4147063195705414,0.43730032444000244
Hete,chain,4,pm2_5,96,0.44464296102523804,0.43693530559539795
Hete,chain,8,pm2_5,720,0.38828960061073303,0.41792601346969604
Hete,chain,24,pm2_5,336,0.3827984035015106,0.40498554706573486
Hete,chain,12,pm2_5,720,0.41257965564727783,0.4416314661502838
Hete,chain,12,pm2_5,336,0.3867151737213135,0.40930724143981934
Hete,chain,20,pm2_5,192,0.44111040234565735,0.43780916929244995
Hete,chain,24,pm2_5,192,0.452362596988678,0.4444778263568878
Hete,chain,16,pm2_5,336,0.38141053915023804,0.40686705708503723
Hete,chain,8,temp,336,0.18335175514221191,0.333072692155838
Hete,chain,16,temp,192,0.14129874110221863,0.28759458661079407
Hete,chain,4,temp,192,0.14199553430080414,0.2913545072078705
Hete,chain,16,temp,96,0.13998493552207947,0.2825799584388733
Hete,chain,20,temp,96,0.14200885593891144,0.2848511040210724
Hete,chain,4,temp,720,0.2613674998283386,0.39506828784942627
Hete,chain,20,temp,336,0.1602334827184677,0.31194981932640076
Hete,chain,8,temp,192,0.13829989731311798,0.28732913732528687
Hete,chain,24,temp,96,0.14046069979667664,0.2831539511680603
Hete,chain,24,temp,720,0.2879190146923065,0.4167884588241577
Hete,chain,4,temp,336,0.16202466189861298,0.3128019869327545
Hete,chain,12,temp,96,0.1417238563299179,0.28489962220191956
Hete,chain,12,temp,192,0.14310741424560547,0.2902703285217285
Hete,chain,8,temp,96,0.14156781136989594,0.28567132353782654
Hete,chain,16,temp,720,0.28751441836357117,0.41645941138267517
Hete,chain,20,temp,720,0.1864052563905716,0.33041292428970337
Hete,chain,4,temp,96,0.14668238162994385,0.2894168496131897
Hete,chain,8,temp,720,0.196427583694458,0.345924437046051
Hete,chain,24,temp,336,0.16199949383735657,0.3145018219947815
Hete,chain,12,temp,720,0.25031590461730957,0.3882099390029907
Hete,chain,12,temp,336,0.15248048305511475,0.3046114444732666
Hete,chain,20,temp,192,0.14206862449645996,0.289398729801178
Hete,chain,24,temp,192,0.1382162868976593,0.2854626774787903
Hete,chain,16,temp,336,0.16690638661384583,0.3186150789260864
Hete,chain,8,weather,336,0.25567495822906494,0.2878515422344208
Hete,chain,16,weather,192,0.20879818499088287,0.24967150390148163
Hete,chain,4,weather,192,0.21048621833324432,0.2520803213119507
Hete,chain,16,weather,96,0.1711171418428421,0.21246282756328583
Hete,chain,20,weather,96,0.17045578360557556,0.21195656061172485
Hete,chain,4,weather,720,0.3305366039276123,0.3441772758960724
Hete,chain,20,weather,336,0.2635754346847534,0.29230058193206787
Hete,chain,8,weather,192,0.20902949571609497,0.2502673268318176
Hete,chain,24,weather,96,0.17182068526744843,0.21307061612606049
Hete,chain,24,weather,720,0.33090347051620483,0.3486544191837311
Hete,chain,4,weather,336,0.25363221764564514,0.2862177789211273
Hete,chain,12,weather,96,0.1726536899805069,0.21352632343769073
Hete,chain,12,weather,192,0.20836932957172394,0.24997290968894958
Hete,chain,8,weather,96,0.17167040705680847,0.21311132609844208
Hete,chain,16,weather,720,0.35567641258239746,0.3578975200653076
Hete,chain,20,weather,720,0.33399781584739685,0.3492981493473053
Hete,chain,4,weather,96,0.17278900742530823,0.21315890550613403
Hete,chain,8,weather,720,0.3209758400917053,0.3413998782634735
Hete,chain,24,weather,336,0.2531304657459259,0.28680914640426636
Hete,chain,12,weather,720,0.36522239446640015,0.36285141110420227
Hete,chain,12,weather,336,0.25542131066322327,0.2888680398464203
Hete,chain,20,weather,192,0.2094370573759079,0.25103938579559326
Hete,chain,24,weather,192,0.20947672426700592,0.25244462490081787
Hete,chain,16,weather,336,0.2578340172767639,0.2888661026954651
Hete,chain,8,ZafNoo,336,0.5575146079063416,0.4763285219669342
Hete,chain,16,ZafNoo,192,0.5170111060142517,0.44630277156829834
Hete,chain,4,ZafNoo,192,0.5213894844055176,0.448565810918808
Hete,chain,16,ZafNoo,96,0.4722576439380646,0.415260910987854
Hete,chain,20,ZafNoo,96,0.47263646125793457,0.41622045636177063
Hete,chain,4,ZafNoo,720,0.5738315582275391,0.5008979439735413
Hete,chain,20,ZafNoo,336,0.5497052073478699,0.47242531180381775
Hete,chain,8,ZafNoo,192,0.5136010646820068,0.4449290931224823
Hete,chain,24,ZafNoo,96,0.4740351736545563,0.41682249307632446
Hete,chain,24,ZafNoo,720,0.6084908843040466,0.5143989324569702
Hete,chain,4,ZafNoo,336,0.555030107498169,0.47612500190734863
Hete,chain,12,ZafNoo,96,0.47259485721588135,0.41629940271377563
Hete,chain,12,ZafNoo,192,0.5181787014007568,0.44624394178390503
Hete,chain,8,ZafNoo,96,0.4781133830547333,0.41770100593566895
Hete,chain,16,ZafNoo,720,0.6000143885612488,0.5121092796325684
Hete,chain,20,ZafNoo,720,0.5737273693084717,0.49831342697143555
Hete,chain,4,ZafNoo,96,0.47290948033332825,0.4142495095729828
Hete,chain,8,ZafNoo,720,0.5721824765205383,0.49664920568466187
Hete,chain,24,ZafNoo,336,0.5598291158676147,0.4781038165092468
Hete,chain,12,ZafNoo,720,0.5859931707382202,0.5053298473358154
Hete,chain,12,ZafNoo,336,0.5527809858322144,0.47535619139671326
Hete,chain,20,ZafNoo,192,0.5130429863929749,0.4441111981868744
Hete,chain,24,ZafNoo,192,0.5172922015190125,0.4460577666759491
Hete,chain,16,ZafNoo,336,0.5557150840759277,0.4759629964828491
Hete,fully,8,AQShunyi,336,0.6797463297843933,0.5094603896141052
Hete,fully,16,AQShunyi,192,0.7015964388847351,0.5033018589019775
Hete,fully,4,AQShunyi,192,0.7025324702262878,0.5040980577468872
Hete,fully,16,AQShunyi,96,0.7289149165153503,0.5036337971687317
Hete,fully,20,AQShunyi,96,0.7264414429664612,0.5032495260238647
Hete,fully,4,AQShunyi,720,0.7281014323234558,0.5330473184585571
Hete,fully,20,AQShunyi,336,0.6775668859481812,0.5081666111946106
Hete,fully,8,AQShunyi,192,0.7020866870880127,0.5025795102119446
Hete,fully,24,AQShunyi,96,0.7262505888938904,0.5025271773338318
Hete,fully,24,AQShunyi,720,0.7337017059326172,0.5338529944419861
Hete,fully,4,AQShunyi,336,0.678869366645813,0.5085285305976868
Hete,fully,12,AQShunyi,96,0.7396308183670044,0.5065752267837524
Hete,fully,12,AQShunyi,192,0.7001063227653503,0.5019179582595825
Hete,fully,8,AQShunyi,96,0.7279710173606873,0.5022626519203186
Hete,fully,16,AQShunyi,720,0.7322254776954651,0.5324764251708984
Hete,fully,20,AQShunyi,720,0.736352264881134,0.5336158871650696
Hete,fully,4,AQShunyi,96,0.734319806098938,0.5057916641235352
Hete,fully,8,AQShunyi,720,0.7325900793075562,0.5323184132575989
Hete,fully,24,AQShunyi,336,0.6789960265159607,0.5089929103851318
Hete,fully,12,AQShunyi,720,0.7388315796852112,0.5341259241104126
Hete,fully,12,AQShunyi,336,0.6790398359298706,0.5090627670288086
Hete,fully,20,AQShunyi,192,0.6971607208251953,0.5017359256744385
Hete,fully,24,AQShunyi,192,0.7041193842887878,0.5038197636604309
Hete,fully,16,AQShunyi,336,0.678915798664093,0.5086554288864136
Hete,fully,8,AQWan,336,0.7752751708030701,0.5009851455688477
Hete,fully,16,AQWan,192,0.8008940815925598,0.49507570266723633
Hete,fully,4,AQWan,192,0.8025095462799072,0.4964383542537689
Hete,fully,16,AQWan,96,0.820724606513977,0.49280238151550293
Hete,fully,20,AQWan,96,0.8085265755653381,0.4910597503185272
